english,russian
abstergent,очищающий
abstersion,очищение
abstinence,умеренность
abstinent,умеренный
abstractedly,рассеянно
abstractedness,рассеянность
abstracter,водопользователь
abstraction,абстракция
abstractive,отвлеченный
abstractiveness,отвлеченность
abstractly,отвлеченно
abstractness,отвлеченность
abstractor,водопользователь
abstriction,абстрикция
abstruse,непонятный
abstrusely,малопонятно
abstruseness,непонятность
absurdity,нелепость
absurdly,нелепо
absurdness,нелепость
abundance,избыток
abundant,обильный
abundantly,обильно
abuser,злоупотребитель
abusive,оскорбительный
abusively,оскорбительно
abusiveness,оскорбительность
abutilon,канатник
abutment,граница
abuttal,граница
abutter,владелец
aby,искупать
abye,искупать
abysm,пучина
abysmal,бездонный
abysmally,безгранично
abyss,пучина
abyssal,глубинный
abyssinia,абиссиния
acacia,акация
academe,акадения
academia,академия
academical,академический
academically,академически
academician,академик
academicism,академизм
academics,академик
academy,академия
acadia,акадия
acadian,акадийский
acanthaceous,иглистый
acanthi,акант
acanthoid,шипообразный
acanthous,акантовый
acanthus,акант
acappela,акапелла
acapulco,акапулько
acaroid,зудень
acarpelous,бескарпельный
acarpous,акарпный
acatalectic,продолжительный
acaudal,бесхвостый
acaudate,бесхвостый
acaulescent,бесстебельный
acauline,бесстебельный
accedence,вступление
accelerable,ускоряемый
accelerant,ускоритель
accelerate,ускорять
acceleration,ускорение
accelerations,ускорение
accelerative,ускорительный
accelerator,акселератор
acceleratory,ускорительный
accelerometer,акселерометр
accenting,акцентировать
accentual,тонический
accentuality,выделенность
accentuate,подчеркивать
accentuation,подчеркивание
acceptability,приемлемость
acceptable,приемлемый
acceptableness,приемлемость
acceptably,приемлемо
acceptances,акцепт
accepter,акцептор
acceptor,акцептор
accessarily,побочно
accessed,доступный
accessibility,доступность
accessible,доступный
accessibleness,доступность
accessibly,доступно
accession,доступ
accessor,аксессор
accessorial,акцессорный
accessories,принадлежность
accessorily,вспомогательно
accessoriness,соучастие
accidence,аварийность
accidental,случайный
accidentally,случайно
accidently,случайно
acclaimer,приветствие
acclamation,одобрение
acclamations,одобрение
acclamatory,одобрительный
acclimatable,приспосабливающийся
acclimate,акклиматизироваться
acclimation,акклиматизация
acclimatization,акклиматизация
acclimatize,акклиматизироваться
acclivitous,уклонный
acclivity,откос
acclivous,покатый
accolade,чествовать
accommodable,размещаемый
accommodatingly,удобно
accommodation,размещение
accommodative,разместительный
accommodator,разместитель
accompanist,аккомпаниатор
accompany,сопровождать
accomplice,сообщник
accomplish,выполнять
accomplisher,выполнитель
accomplishment,выполнение
accomplishments,совершенство
accordable,соответствующий
accordance,соответствие
accordantly,соответственно
accordingly,соответственно
accordion,аккордеон
accordionist,аккордеонист
accoster,инициатор
accosting,заговаривать
accouchement,роды
accountability,подотчетность
accountableness,подотчетность
accountably,ответственно
accountancy,учет
accountant,бухгалтер
accountantship,бухгалтерия
accouter,снаряжать
accouterment,снаряжение
accoutre,снаряжать
accoutrement,снаряжение
accredit,уполномочивать
accreditation,аккредитирование
accredited,аккредитированный
accreting,срастаться
accretion,прирост
accretions,прирост
accruable,накопляемый
accrual,накопление
accruals,накопление
accrue,увеличиваться
accruement,накопление
acct,счет
accuisition,приобретение
acculturation,акультурация
acculturational,акультурационный
acculturative,акультурационный
accumulate,накапливать
accumulation,накопление
accumulative,накопляющийся
accumulatively,кумулятивно
accumulator,аккумулятор
accurate,точный
accurately,точно
accurateness,точность
accurse,проклинать
accursedness,проклятость
accusable,обвиняемый
accusal,обвинение
accusation,обвинение
accusative,винительный
accusatively,обвиняюще
accusativeness,обвинение
accusatorial,обвинительный
accusatory,обвинительный
accuse,обвинять
accuseds,обвиняемый
accuser,обвинитель
accusingly,обвинительно
accustom,приучать
accustomed,привычный
acerb,едкий
acerbate,раздражать
acerbic,едкий
acerbity,жесткость
acetanilide,ацетанилид
acetic,ацетатный
acetify,ацетифицировать
acetonic,ацетоновый
acetyl,ацетил
acetylcholine,ацетилхлорин
acetylcholinesterase,ацетилхолинестераза
acetylsalicylic,ацетилсалициловый
acheless,безболезненный
achene,семянка
achievable,достижимо
achieve,достигать
achievement,достижение
achilles,ахиллес
achiness,болезненность
achingly,болезненно
achromatic,бесцветный
achromatically,ахроматически
achromatism,бесцветность
achy,болезненный
acidhead,наркоман
acidic,кислый
acidifiable,окисляемый
acidification,окисление
acidifier,окислитель
acidify,подкислять
acidity,хим)кислотность
acidly,холодно
acidosis,ацидоз
acidproof,кислотоупорный
acidulate,подкислять
acidulated,недовольный
acidulation,подкисление
acidulous,кисловатый
acidulously,кисловато
acidulousness,кисловатость
acknowledgement,подтверждение
acknowledgment,признание
aclinal,горизонтальный
aclinic,аклинический
acme,верх
acne,угорь
acolyte,помощник
aconite,аконит
acorn,желудь
acoustic,акустический
acoustical,акустический
acoustically,акустически
acoustics,акустика
acquaint,знакомить
acquaintance,знакомство
acquaintances,знакомство
acquaintanceship,знакомство
acquiescent,покорный
acquiescently,покорно
acquirable,приобретенный
acquire,приобретать
acquirement,приобретение
acquirements,навык
acquirer,аквизитор
acquisition,приобретение
acquisitive,восприимчивый
acquisitively,жадно
acquisitiveness,восприимчивость
acquittal,оправдание
acre,акр
acrid,резкий
acridity,острота
acridly,резко
acridness,острота
acrimonious,язвительный
acrimoniously,язвительно
acrimoniousness,язвительность
acrimony,желчность
acrobat,акробат
acrobatic,акробатический
acrobatically,акробатически
acrobatics,акробатика
acronym,акроним
acrophobia,акрофобия
acropolis,акрополь
across,через
acrostic,акростих
acrostically,акростически
acth,адренокортикотропин
actin,актин
actinic,актиничный
actinically,актинично
actinism,светочувствительность
actinium,актиний
activation,активизация
activator,активизатор
active,активный
actively,активно
activeness,активность
activism,активизм
activist,активист
activities,деятельность
actomyosin,актомиозин
actor,актер
actress,актриса
actual,фактический
actualities,действительность
actuality,действительность
actualization,актуализация
actualize,осуществлять
actually,действительно
actuarially,статистически
actuary,актуарий
actuate,активизировать
actuation,активизация
actuator,привод
actylcholinesterase,актилхолинестераза
acuity,острота
aculpulco,Йакапулько
acumen,проницательность
acupuncture,акупунктура
acute,острый
acutely,остро
acuteness,острота
acyclic,ациклический
acyclovir,ацикловир
acyl,ацил
adage,пословица
adagio,адажио
adamancy,непреклонность
adamantly,категорически
adapt,приспосабливать
adaptability,приспособляемость
adaptable,адаптирующийся
adaptableness,приспосабливаемость
adaptive,адаптивный
adaptively,адаптивно
adaptiveness,адаптивность
add-in,расширение
addable,добавляемый
addend,слагаемое
addendum,приложение
addition,дополнение
additional,дополнительный
additive,добавка
additivity,аддитивность
addressability,адресуемость
addressable,адресуемый
addressee,адресат
addressless,безадресный
addressness,адресность
addressor,отправитель
adducable,приводимый
adduce,приводить
adducible,приводимый
adduction,приведение
adeem,отбирать
adeemed,отбирать
adelaide,аделаида
adele,адель
ademption,отказ
aden,аден
adenine,аденин
adenoid,аденоид
adept,знаток
adeptly,знающе
adeptness,знание
adequacies,адекватность
adequacy,адекватность
adequate,требуемый
adequately,приемлемо
adequateness,адекватность
adequation,выравнивание
adherography,адгезография
adhesion,прилипание
adhesional,прилипающий
adhesions,прилипание
adhesiveness,клейкость
adhoc,специальный
adiabatic,адиабатический
adiabatically,адиабатически
adieu,прощай
adieus,прощай
adieux,прощай
adios,прощай
adipose,жирный
adiposeness,жирность
adiposis,ожирение
adiposity,ожирение
adit,проход
adj,прилагательное
adjacency,смежность
adjacent,смежный
adjacently,рядом
adjectival,адъективный
adjective,прилагательное
adjoin,примыкать
adjourn,откладывать
adjournment,отсрочка
adjt,прилагательное
adjudicable,подсудный
adjudicative,судебный
adjunct,адъюнкт
adjunctive,добавочный
adjunctly,дополнительно
adjuration,клятва
adjure,повелевать
adjustable,регулируемый
adjusted,корректировать
adjutage,насадка
adjutancy,насадка
adjutant,адъютант
adjuvant,полезный
admeasure,отмерять
admin,администрация
administer,управлять
administrable,управляемый
administrate,управлять
administrative,административный
administrator,администратор
administratrix,женщина-администратор
admirably,отлично
admiral,адмирал
admiralship,адмиральство
admiralships,адмиральство
admiralty,адмиралтейство
admiration,восхищение
admire,восхищаться
admirer,поклонник
admissable,допустимый
admissibility,допустимость
admissible,допустимый
admissibly,допустимо
admissive,допускающий
admit,допускать
admittance,вход
admittances,вход
admix,примешиваться
admixture,примесь
admonish,убеждать
admonishment,замечание
admonition,замечание
admonitory,предостерегающий
ado,хлопота
adobe,кирпич-сырец
adolescence,юность
adoptee,усыновленный
adopter,усыновитель
adoption,принятие
adoptive,адаптивный
adoptively,адаптивно
adoptor,усыновитель
adorability,восхитительность
adorable,восхитительный
adorableness,восхитительность
adore,восхищаться
adorer,поклонник
adorn,украшать
adorner,украшение
adornment,украшение
adown,внизу
adrenal,надпочечный
adrenalin,адреналин
adrenaline,адреналин
adrenergic,адренергический
adriatic,адриатический
adroit,искусный
adroitly,искусно
adroitness,ловкость
ads,реклама
adscititious,дополнительный
adsorb,адсорбировать
adsorbable,адсорбированный
adsorbate,адсорбат
adsorbent,адсорбент
adsorption,адсорбция
adsorptive,адсорбирующий
adsorptiveness,адсорбционность
adulate,льстить
adulation,лесть
adulator,льстец
adulatory,льстивый
adulterant,примесь
adulterate,фальсифицировать
adulteration,подделка
adulterator,фальсификатор
adulterer,прелюбодей
adulteress,прелюбодейка
adulterine,незаконный
adulterous,прелюбодейский
adulterously,незаконно
adulterousness,прелюбодеяние
adultery,прелюбодеяние
adulthood,зрелость
adultness,взрослость
adults,взрослый
adumbrate,затемнять
adumbration,затемнение
adumbrative,затемнительный
adumbratively,затемняюще
advancer,передовой
advantageous,выгодный
advantageously,выгодно
advantages,преимущество
advent,приход
adventist,адвентист
adventitious,случайный
adventitiously,побочно
adventurer,авантюрист
adventuresome,смелый
adventuress,авантюристка
adventurism,авантюризм
adventurist,авантюрист
adventuristic,авантюристический
adventurous,рискованный
adventurously,рискованно
adventurousness,авантюристичность
adverb,наречие
adverbial,наречный
adversarial,сопернический
adversary,соперник
adversative,противительный
adversatively,противоположно
adverse,неблагоприятный
adversely,напротив
adverseness,неудача
adversities,напасть
adversity,несчастье
advert,касаться
advertently,внимательно
advertiser,рекламодатель
advisability,желательность
advisedly,намеренно
advisedness,намеренность
advisement,рассмотрение
adviser,консультант
advisor,консультант
advisories,консультант
advisory,консультативный
advocacies,защита
advocacy,защита
advocation,отстаивание
advt,#рекл
adyta,святилище
adytum,святилище
adz,тесло
adze,тесло
adzes,тесло
aegean,эгейский
aegis,эгида
aeolian,эольский
aeon,вечность
aeons,вечность
aerate,проветривать
aeration,вентилирование
aerator,аэратор
aerialist,акробат
aeriform,газообразный
aero,аэро
aerobe,аэроб
aerobic,аэробный
aerobically,аэробно
aerobics,аэробика
aerodrome,аэродром
aerodynamic,аэродинамический
aerodynamical,аэродинамический
aerodynamically,аэродинамически
aerodynamics,аэродинамика
aeroflot,аэрофлот
aerological,аэрологический
aerologist,аэролог
aerology,аэрология
aeronaut,аэронавт
aeronautic,авиационный
aeronautical,авиационный
aeronautics,аэронавтика
aeronavigation,аэронавигация
aeronavigator,летчик-штурман
aerophone,звукоусилитель
aerophore,аэрофор
aeroplane,самолет
aeroport,аэропорт
aerosol,аэрозоль
aerostat,аэростат
aerostatics,аэростатика
aerostation,воздухоплавание
aerotechnics,авиатехника
aery,эфирный
aeschylus,эсхил
aesop,эзоп
aesopian,эзопов
aesthete,эстет
aesthetic,эстетический
aesthetically,эстетически
aesthetics,эстетика
aetna,этна
afar,издали
affability,вежливость
affable,вежливый
affably,дружелюбно
affectation,искусственность
affectations,притворство
affectedly,притворно
affectedness,влияние
affectingly,трогательно
affection,любовь
affectionate,нежный
affectionately,любящий
affectionless,бесстрастный
affections,привязанность
affective,нежный
afferent,центростремительный
afferently,центростремительно
affiance,обручать
affiant,свидетель
affiliate,присоединять
affiliation,присоединение
affinage,очистка
affinities,сходство
affinity,сходство
affirmable,утвердительный
affirmably,утвердительно
affirmance,утверждение
affirmation,утверждение
affirmative,утвердительный
affirmatively,утвердительно
affirmativeness,убежденность
affixation,присоединение
afflatus,вдохновение
afflict,огорчать
affliction,несчастье
afflictive,болезненный
afflictively,болезненно
affluence,изобилие
affluently,обильно
afflux,приток
affordable,доступный
affordably,доступно
afforestation,лесонасаждение
affranchise,освобождать
affray,ссора
affreightment,фрахтование
affricate,аффриката
afghanistan,афганистан
aficionado,любитель
afield,вдалеке
afoot,пешком
afore,до
aforementioned,вышеупомянутый
aforenamed,вышеназванный
aforenoted,вышеуказанный
aforequoted,вышеназванный
aforesaid,вышесказанный
aforestated,вышеуказанный
aforethought,преднамеренный
aforetime,прежде
afraid,испуганный
afresh,снова
africa,африка
afrikaans,африкаанс
afro,афро
afros,афро
after-effect,последствие
afterbirth,послед
afterburn,дожигать
afterburner,дожигатель
aftercare,реабилитация
afterdeck,палуба
aftereffect,последействие
afterglow,послесвечение
aftermath,последствие
aftermost,последний
afternoon,полдень
afternoons,полдень
aftersale,послепродажный
aftertaste,привкус
aftertax,посленалоговый
afterward,впоследствии
afterwards,впоследствии
against,против
agar,агар
agatha,агата
agave,агава
agcy,агентство
aged,старый
ageless,вечный
agelessly,вечно
agelessness,вечность
agent,агент
agential,агентский
ageratum,агератум
ageratums,агератум
ages,возраст
agglomerate,скапливаться
agglomeration,накапливание
agglomerations,накапливание
agglutinate,склеивать
agglutination,склеивание
agglutinations,склеивание
agglutinative,склеивающий
agglutinin,агглютинин
agglutinins,агглютинин
aggradation,поднятие
aggrandize,увеличивать
aggrandizement,увеличение
aggrandizements,увеличение
aggrandizer,увеличитель
aggravate,усугублять
aggravation,ухудшение
aggregated,суммировать
aggregation,агрегация
aggregative,собирательный
aggressive,энергичный
aggressively,энергично
aggressiveness,агрессивность
aggressor,зачинщик
aggressors,агрессор
aggrieve,удручать
aggrievement,удрученность
aghast,ошеломленный
agile,быстрый
agilely,живо
agileness,быстрота
agility,быстрота
agio,ажио
agiotage,ажиотаж
agip,ажип
agitatedly,возбужденно
agitato,живо
agitator,агитатор
agleam,сверкающий
aglet,наконечник
agley,неуместно
aglitter,сияющий
aglow,пылающий
agnail,заусеница
agnomen,прозвище
agnosticism,агностицизм
agnostics,агностика
agog,возбужденный
agonal,мучительный
agonic,нулевой
agonistic,полемический
agonize,мучиться
agonizingly,мучительно
agony,агония
agrarians,аграрий
agreeability,согласованность
agreeableness,соответствие
agreeably,соответственно
agreements,конт)экон)соглашение
agrees,соглашаться
agressive,агрессивный
agribusiness,агробизнес
agribusinesses,агробизнес
agric,сельхоз
agricultural,сельскохозяйственный
agriculturalist,фермер
agriculturally,сельскохозяйственно
agriculturist,земледелец
agrimotor,трактор
agronomic,агрономический
agronomics,агрономия
agronomist,агроном
agronomy,агрономия
ague,малярия
agues,малярия
aguish,перемежающийся
agumentation,увеличение
ah,ах
aha,ага
ahem,предостережение
ahh,ах
ahold,держась
ahorse,верхом
ahorseback,верхом
aide,помощник
aider,помощник
aiguille,игла
aiguillette,аксельбант
ail,беспокоить
ailanthus,айлант
ailanthuses,айлант
aileron,элерон
ailing,больной
ailment,нездоровье
ailments,нездоровье
aimless,бесцельный
aimlessly,бесцельно
aimlessness,бесцельность
air-base,авиабаза
air-port,аэропорт
air-tight,герметический
airbase,авиабаза
airbrush,аэрограф
airbrushed,распылять
airbrushing,распылять
aircarrier,авиаперевозчик
airdrome,аэродром
airedale,эрдель
airedales,эрдель
aireometer,ареометр
airfield,аэродром
airfreight,авиафрахт
airily,легко
airiness,воздушность
airing,аэрация
airless,безветренный
airline,авиалиния
airlog,альтиметр
airmail,авиапочта
airman,авиатор
airmobile,аэромобильный
airplane,самолет
airport,аэропорт
airroute,авиалиния
airs,притворство
airshed,ангар
airship,дирижабль
airtight,герметический
airtrip,полет
airwave,эфир
airwaves,эфир
airway,авиалиния
airways,авиалиния
airy,легкий
aisle,проход
ait,островок
ajax,аякс
akimbo,подбоченившись
akin,родственный
alabama,штт)алабама
alack,увы
alacrity,рвение
alai,пазуха
alan,алан
alar,крылатый
alarm-clock,будильник
alarmingly,тревожно
alarmism,паникерство
alarmist,паникер
alas,увы
albania,албания
albatross,альбатрос
albedo,альбедо
albert,альберт
alberta,альберта
alberto,альберто
albescent,беловатый
albinism,альбинизм
albino,альбинос
albion,альбион
album,альбом
albumen,белок
albumin,альбумин
albuminous,альбуминовый
albuquerque,альбукерк
alburnum,заболонь
alcalde,алькальд
alcatel,алкатель
alcazar,крепость
alchemic,алхимический
alchemical,алхимический
alchemist,алхимик
alchemy,алхимия
alcoholically,алкоголически
alcoholism,алкоголизм
alcoran,коран
alcove,ниша
aldehyde,альдегид
alder,ольха
alderman,ольдермен
alders,ольха
aldosterone,альдостерон
ale,пиво
aleatory,случайный
alehouse,пивная
alembic,дистиллятор
aleph,алеф
alertly,бдительно
alertness,бдительность
alerts,предупреждать
aletheutics,алетевтика
aleut,алеут
alewife,барменша
alex,алекс
alexander,александр
alexandria,александрия
alexandrian,александрийский
alexandrite,александрит
alfalfa,люцерна
alga,водоросль
algae,водоросль
algebra,алгебра
algebraic,алгебраический
algebraical,алгебраический
algebraist,алгебраист
algebras,алгебра
algeria,алжир
algiers,алжир
algonquian,алгонкинский
algonquians,алгонкин
algonquin,алгонкин
algoristic,детерминированный
algorithm,инф)алгоритм
alhambra,альгамбра
alias,псевдоним
alibi,алиби
alibied,оправдываться
alibies,оправдываться
alibiing,оправдываться
alibis,алиби
alice,элис
alienability,отчужденность
alienable,отчуждаемый
alienate,отчуждать
alienation,отчуждение
alienator,психиатр
alienist,психиатр
alienness,чуждость
aliens,иностранец
aliform,крылообразный
alighted,садиться
align,выравнивать
aligned,выравнивать
aligner,согласователь
alignment,выравнивание
alignments,выравнивание
aligns,выравнивать
alikeness,сходство
aliment,питание
alimentary,алиментарный
alimentation,питание
aliments,питание
alimony,алимент
aline,выравнивать
aliquant,неоднородный
aliquot,кратный
alit,зажжен
aliveness,живость
alizarin,ализарин
alkali,щелочь
alkalies,щелочь
alkaline,щелочной
alkalinity,щелочность
alkalinization,осолонцевание
alkalinize,солонцевать
alkalinized,ощелоченный
alkalize,подщелачивать
alkaloid,алкалоид
alkyd,алкид
alkyl,алкил
all-round,всесторонний
allah,аллах
allay,ослаблять
allayer,ослабитель
allegation,заявление
alleged,предполагаемый
allegedly,якобы
allegiance,зависимость
allegiant,преданный
allegoric,иносказательный
allegorical,аллегорический
allegorically,аллегорически
allegorist,аллегорист
allegorize,высказываться
allegory,аллегория
allegretto,аллегретто
allegro,аллегро
allegros,аллегро
allele,аллель
allelic,аллельный
alleluia,аллилуйя
alleluias,аллилуйя
allergen,аллерген
allergenic,аллергенный
allergenicity,аллергенность
allergic,аллергический
allergies,аллергия
allergist,аллерголог
allergy,аллергия
alleviate,облегчать
alleviation,облегчение
alleviations,облегчение
alley,аллея
alleyway,проход
alliance,союз
allied,родственный
allies,союзник
alligation,сплав
alligator,аллигатор
alliterate,аллитерировать
alliterating,аллитерировать
alliteration,аллитерация
alliterations,аллитерация
alliterative,аллитерационный
alloc,распределять
allocability,распределяемость
allocable,распределяемый
allocate,распределять
allocator,распределитель
allocatur,разрешено
allocute,обращаться
allocution,речь
allonge,аллонж
allopath,аллопат
allopathic,аллопатический
allopathy,аллопатия
allot,выделять
allotment,выделение
allotrope,аллотроп
allotropic,аллотропный
allotropically,аллотропно
allotropy,аллотропия
allottee,получатель
allowability,допустимость
allowable,допустимый
allowables,допущение
allowance,пособие
alloy,сплав
alloyed,сплавленный
alloying,сплавлять
allright,хорошо
allured,заманивать
allurement,приманка
alluringly,заманчиво
allusion,намек
allusive,предполагающий
allusiveness,намек
alluvia,аллювий
alluvial,наносный
alluvion,аллювий
alluvium,нанос
allying,объединяться
almamater,альма-матер
almanac,альманах
almandine,альмандин
almightily,всемогуще
almightiness,всемогущество
almighty,всемогущий
almonds,миндаль
almost,почти
alms,милостыня
alms-house,богадельня
almshouse,богадельня
aloe,алоэ
aloes,алоэ
aloft,наверху
aloha,привет
along,вдоль
aloofly,отчужденно
aloofness,отчужденность
alopecia,алопеция
alp,гора
alpaca,альпака
alpacas,альпака
alpenhorn,рог
alpenstock,альпеншток
alphabet,алфавит
alphabetic,алфавитный
alphabetical,алфавитный
alphanumeric,текстовый
alpine,альпийский
alps,альпы
already,уже
alright,хорошо
also,также
alta,штт)альберта
altai,алтай
altaic,алтайский
altair,альтаир
altar,алтарь
altarpiece,алтарь
alter,изменять
alterability,изменяемость
alterable,изменяемый
alteration,изменение
alterative,альтеративный
alteratively,альтеративно
altercation,перебранка
alternately,поочередно
alternateness,поочередность
alternatingly,перменно
alternation,чередование
alternativeness,альтернативность
although,хотя
altichamber,барокамера
altimeter,альтиметр
altitude,высота
altitudinal,высотный
alto,альт
altogether,вместе
altruism,альтруизм
altruist,альтруист
altruistic,альтруистический
altruistically,альтруистически
alum,квасцы
aluminize,алитировать
alumna,воспитанница
alumnae,воспитанница
alumni,воспитанник
alumnus,воспитанник
alveolar,альвеолярный
alveolus,альвеола
always,всегда
aly,аллея
amah,няня
amain,значительно
amalgamate,амальгамировать
amalgamation,объединение
amalgamator,амальгаматор
amalgams,амальгама
amanuenses,секретарь
amanuensis,секретарь
amaranth,амарант
amaranthine,амарантовый
amaryllis,амариллис
amass,копить
amassment,скопление
amateurish,дилетантский
amateurishly,дилетантски
amateurishness,дилетантство
amateurism,дилетантство
amateurs,дилетант
amative,любовный
amatively,любовно
amativeness,любовь
amatorially,любовно
amatory,любовный
amaze,изумлять
amazedly,изумленно
amazement,удивление
amazingly,изумительно
amazon,амазонка
amazonian,амазонский
ambages,проволочка
ambassador,посол
ambassadorial,посольский
ambergris,амбра
ambiance,среда
ambidexter,двурушник
ambidexterity,двурушничество
ambidexterous,двурушнический
ambidextrous,двурушнический
ambidextrously,двурушнически
ambience,среда
ambiguity,неоднозначность
ambiguous,неоднозначный
ambiguously,двусмысленно
ambiguousness,неоднозначность
ambit,предел
ambitiously,честолюбиво
ambitiousness,честолюбие
ambits,граница
ambivalence,двойственность
ambivalent,двойственный
ambivalently,двойственно
ambivert,амбиверт
ambler,иноходец
ambo,амвон
ambrosia,амброзия
ambrosial,неземной
ambrosially,божественно
ambulant,перемещающийся
ambulate,перемещаться
ambulator,дальномер
ambulatory,передвижной
amdt,поправка
ameba,амеба
amebic,амебный
amelia,амелия
ameliorate,улучшать
amelioration,улучшение
ameliorative,улучшающий
amen,аминь
amenability,ответственность
amenably,послушно
amendable,исправимый
amended,корректировать
amendment,докм)поправка
amenities,красота
amenity,любезность
amerce,штрафовать
america,америка
americana,американа
americanism,американизм
americanization,американизация
americanize,американизировать
americas,америка
americium,америций
amethyst,аметист
amiability,приветливость
amiable,дружелюбный
amiableness,дружелюбие
amiably,дружелюбно
amicability,дружелюбие
amicable,дружелюбный
amicableness,дружелюбие
amicably,дружно
amid,среди
amide,амид
amidst,среди
amigo,амиго
amino,амино
aminoproteins,аминобелок
amiss,ошибочно
amity,согласие
amman,амман
ammeter,амперметр
ammo,боеприпас
ammonia,аммиак
ammoniac,аммониак
ammunition,боеприпас
ammunitions,боеприпас
amnestied,амнистированный
amnesty,амнистия
amnestying,амнистировать
amniocentesis,аминоцентез
amoeba,амеба
amoebae,амеба
amoebic,амебный
amok,амок
among,среди
amongst,среди
amoral,аморальный
amorality,аморальность
amorally,аморально
amorous,влюбчивый
amorously,влюбленно
amorousness,влюбчивость
amorphous,аморфный
amorphously,аморфно
amorphousness,аморфность
amortizable,амортизируемый
amortize,амортизировать
amortized,амортизировать
amortizes,амортизировать
amortizing,амортизировать
amounted,составлять
amounting,составлять
amounts,сумма
amour,амур
amoxicillin,амоксициллин
amp,#амп
ampere,ампер
ampermeter,амперметр
ampersand,амперсанд
amphetamine,ампетамин
amphibious,земноводный
amphibole,амфибол
amphitheater,амфитеатр
amphitheatre,амфитеатр
amphora,амфора
amphorae,амфора
ampicillin,ампициллин
ample,просторный
ampleness,обильность
amplifiable,усиливаемый
amplification,усиление
amplifier,усилитель
amplify,увеличивать
amplifying,увеличивать
amplitude,амплитуда
amply,обильно
ampoule,ампула
amps,ампер
ampule,ампула
amputate,отсекать
amputation,ампутация
